Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,2nd phase - general,5,Animation/Multimedia,daytime,Secondary education,122.0,Portuguese,19,12,Services/Sellers,Unskilled Workers,127.3,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,International student,1,Tourism,daytime,Secondary education,160.0,Portuguese,1,3,Technicians,Technicians,142.5,yes,no,no,no,male,no,19,no,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
single,1st phase - general,5,Communication Design,daytime,Secondary education,122.0,Portuguese,37,37,Unskilled Workers,Unskilled Workers,124.8,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general,2,Journalism,daytime,Secondary education,122.0,Portuguese,38,37,Services/Sellers,Technicians,119.6,yes,no,no,yes,female,no,20,no,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,1,Social Service (evening),evening,Secondary education,100.0,Portuguese,37,38,Unskilled Workers,Unskilled Workers,141.5,no,no,no,yes,female,no,45,no,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,1,Management (evening),evening,Basic education 3rd cycle,133.1,Portuguese,37,37,Unskilled Workers,Industry/Construction,114.8,no,no,yes,yes,male,no,50,no,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
single,1st phase - general,1,Nursing,daytime,Secondary education,142.0,Portuguese,19,38,Industry/Construction,Armed Forces,128.4,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
single,3rd phase - general,4,Tourism,daytime,Secondary education,119.0,Portuguese,37,37,Unskilled Workers,Unskilled Workers,113.1,yes,no,no,no,male,no,22,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general,3,Social Service,daytime,Secondary education,137.0,Romanian,1,1,Unskilled Workers,Unskilled Workers,129.3,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
single,1st phase - general,1,Social Service,daytime,Secondary education,138.0,Portuguese,1,19,Admin staff,Industry/Construction,123.0,yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
